frame_id,obj_type,Prediction,Confidence
2-048_02244_001,MOTORCYCLE,"[ 9.252963   3.8330178 -1.3619324  2.7623365  1.4788345  1.9617547
  6.343868 ]",0.8903721
2-048_02245_001,MOTORCYCLE,"[ 48.862316  -12.331136   -1.5649941   2.4495685   1.2213368   1.8959477
   4.25464  ]",0.8348017
2-048_02246_001,MOTORCYCLE,"[12.291126    6.409652   -1.3984665   2.6559155   1.3390533   1.8910545
  0.89298594]",0.92315155
2-048_02247_001,MOTORCYCLE,"[ 39.69252   -11.006038   -1.6426659   2.108501    1.0390927   1.6677611
   3.7872965]",0.84119004
2-048_02248_001,MOTORCYCLE,"[13.576914  10.037121  -1.3870242  2.518893   1.2375538  1.8403286
  6.689292 ]",0.84679973
2-048_02249_001,MOTORCYCLE,"[ 28.69116   -14.114124   -1.3778511   2.6051464   1.4034228   1.8630726
   3.225435 ]",0.8919118
2-048_02318_001,MOTORCYCLE,"[33.998974   5.911848  -1.5410644  2.1592362  1.0492493  1.7247965
  2.732356 ]",0.84230983
2-048_02319_001,MOTORCYCLE,"[ 33.760963  -18.321823   -1.5073256   2.242359    1.1153617   1.7915254
   6.3375387]",0.84166694
2-048_02320_001,MOTORCYCLE,"[23.576923  10.613868  -1.4707313  2.2993832  1.1489564  1.7420204
  3.2442515]",0.83438087
2-048_02321_001,MOTORCYCLE,"[42.812656  -8.261273  -1.5613447  2.2706707  1.0821652  1.7433428
  1.1554403]",0.80968785
2-048_02323_001,MOTORCYCLE,"[61.24511   -9.394279  -1.5560788  2.3240688  1.1316556  1.8266876
  1.4140224]",0.8558584
2-048_02324_001,MOTORCYCLE,"[10.349571   -0.39215818 -1.4779212   2.5378046   1.2605902   1.9315977
  4.255432  ]",0.8053286
2-048_02326_001,MOTORCYCLE,"[ 9.924289   1.9488349 -1.4434838  2.5014377  1.2867843  1.878063
  4.035622 ]",0.77835673
2-048_02327_001,MOTORCYCLE,"[50.23501   -7.3223314 -1.39289    2.5543892  1.3337309  1.9185183
  1.2249475]",0.8102701
2-048_02328_001,MOTORCYCLE,"[ 8.143725  -2.130877  -1.4159211  2.619784   1.3474832  1.9527764
  4.744247 ]",0.8618452
2-048_02329_001,MOTORCYCLE,"[ 9.503556  -1.8430127 -1.4575369  2.4541461  1.2030158  1.8579341
  4.4785485]",0.87796134
2-048_02330_001,MOTORCYCLE,"[ 7.9865365  2.6596537 -1.432921   2.6123254  1.4335545  1.9829435
  4.102338 ]",0.8873511
2-048_02331_001,MOTORCYCLE,"[ 54.753433  -11.219513   -1.5927454   2.3947694   1.1462373   1.8262252
   0.8653754]",0.9361188
2-048_02332_001,CAR,"[43.564407   25.999424   -1.4247025   5.1521974   2.2891452   1.7685363
  0.96630776]",0.93366206
2-048_02332_001,MOTORCYCLE,"[17.24518   -0.5841319 -1.2398874  2.7603216  1.4327097  1.9126793
  4.260347 ]",0.91866213
2-048_02333_001,CAR,"[44.309673  33.92153   -1.535683   5.133941   2.2506955  1.7439398
  1.4094009]",0.973679
2-048_02333_001,MOTORCYCLE,"[30.736433  -1.8820301 -1.4493589  2.3789754  1.1017072  1.8021007
  4.9945984]",0.9237194
2-048_02334_001,CAR,"[44.320606  33.89928   -1.51365    5.0638804  2.2440126  1.7303717
  1.4278972]",0.96510726
2-048_02334_001,MOTORCYCLE,"[24.097418   5.159164  -1.5133823  2.311964   1.1065896  1.8139518
  6.1655855]",0.905713
2-048_02335_001,CAR,"[44.307972  33.884785  -1.5157167  5.072119   2.2387564  1.7292857
  1.4185001]",0.9618599
2-048_02335_001,MOTORCYCLE,"[ 38.142265  -10.847566   -1.612327    2.2738945   1.0531293   1.7944161
   2.7693136]",0.8612537
2-048_02336_001,MOTORCYCLE,"[ 10.818385  -10.946003   -1.418845    2.422528    1.1499614   1.7886424
   5.3208666]",0.8796717
2-048_02339_001,MOTORCYCLE,"[54.764732  -2.4457908 -1.5736381  2.3416593  1.1335596  1.8520648
  1.9411569]",0.75760794
2-048_02340_001,MOTORCYCLE,"[13.237804  -7.7061973 -1.4196235  2.6109776  1.2536021  1.8932769
  5.3346176]",0.88196427
2-048_02340_001,PEDESTRIAN,"[ 6.201391  34.07946   -1.2528511  1.3302722  1.0830986  1.7937679
  3.287983 ]",0.1168435
2-048_02341_001,MOTORCYCLE,"[54.941845  -1.4224693 -1.5591803  2.4180481  1.2684404  1.9644392
  1.9756149]",0.79219866
2-048_02342_001,MOTORCYCLE,"[13.858188  -8.3302555 -1.3996559  2.4815261  1.1980112  1.8464073
  5.3958554]",0.8779883
2-048_02343_001,MOTORCYCLE,"[51.05807    3.1848161 -1.5654734  2.299394   1.1479551  1.777371
  2.3258114]",0.65904933
2-048_02344_001,MOTORCYCLE,"[ 17.156897  -11.685402   -1.26846     2.7602735   1.4506239   1.9342418
   6.165956 ]",0.93124783
2-048_02345_001,MOTORCYCLE,"[52.45413   -6.787729  -1.5703341  2.2523458  1.1036055  1.7413735
  3.3020082]",0.82026017
2-048_02346_001,MOTORCYCLE,"[27.61079   12.270851  -1.5078052  2.2858746  1.0831683  1.7831357
  6.3354793]",0.95398426
2-048_02347_001,MOTORCYCLE,"[ 25.207333  -12.00717    -1.4222043   2.438178    1.2141689   1.7491009
   2.5645564]",0.88011956
2-048_02348_001,MOTORCYCLE,"[51.28695   -1.2337079 -1.5142725  2.4282928  1.1905003  1.8480603
  5.312374 ]",0.87380326
2-048_02348_001,CAR,"[ 1.5526167 15.029071  -1.073682   5.4829607  2.2278345  2.0191584
  1.3631381]",0.57634234
2-048_02349_001,MOTORCYCLE,"[13.365424   4.0640764 -1.4776853  2.456211   1.1404682  1.8286467
  1.2711185]",0.90824026
2-048_02349_001,CAR,"[ 0.39342478  8.515916   -1.2517734   5.26481     2.499666    1.9361985
  5.7095995 ]",0.2095343
2-048_02350_001,MOTORCYCLE,"[ 56.198948  -11.812657   -1.582519    2.3034282   1.0876911   1.8117409
   6.9611936]",0.9452221
2-048_02351_001,MOTORCYCLE,"[14.340778   2.110474  -1.4544322  2.3190718  1.0734037  1.734576
  3.170608 ]",0.8898922
2-048_02352_001,MOTORCYCLE,"[ 6.674813    0.18237498 -1.5625637   2.1775599   1.1059047   1.730614
  3.5968885 ]",0.8847321
